master_index,index,p value,Prompt,Approach,Number of Generations,Generation,Final-Text,Number of Sentences,Generations per Sentence
78,119,0.96,"Most visitors head to the small Norwegian city of Tromso, sitting a chilly 350km above the Arctic Circle, for the Northern Lights that streak across the night sky.",Vanilla GPTJ,1.00,"However, for those who visit during the summer months – or even better still the winter, when snow showers bring the Northern Lights to the ground, it’s possible to experience something even more stunning. Svalbard is the northern most settlement in the Kingdom of Norway.","Most visitors head to the small Norwegian city of Tromso, sitting a chilly 350km above the Arctic Circle, for the Northern Lights that streak across the night sky. -|GEN|- However, for those who visit during the summer months – or even better still the winter, when snow showers bring the Northern Lights to the ground, it’s possible to experience something even more stunning. Svalbard is the northern most settlement in the Kingdom of Norway.",2.00,-
79,120,0.96,"A rally for Donald Trump in Wildwood, NJ.",Vanilla GPTJ,1.00,"| AP Photo Trump rallies, protests ahead of Wisconsin primary  Two years after an unexpected victory, Donald Trump is ramping up his efforts to secure the Republican nomination for president. While the billionaire businessman and reality star is spending more time in Wisconsin, which holds its primary April 5, he is spending less time in Florida, the biggest winner in the GOP race so far, and the latest delegate haul is a strong sign he is feeling pressured by Ted Cruz, whose campaign has focused on Super Tuesday in conservative-heavy states.","A rally for Donald Trump in Wildwood, NJ. -|GEN|- | AP Photo Trump rallies, protests ahead of Wisconsin primary  Two years after an unexpected victory, Donald Trump is ramping up his efforts to secure the Republican nomination for president. While the billionaire businessman and reality star is spending more time in Wisconsin, which holds its primary April 5, he is spending less time in Florida, the biggest winner in the GOP race so far, and the latest delegate haul is a strong sign he is feeling pressured by Ted Cruz, whose campaign has focused on Super Tuesday in conservative-heavy states.",2.00,-
80,121,0.96,Google CEO Sundar Pichai has today stated artificial intelligence (AI) will be essential in humanity's future and could even be used to fight cancer.,Vanilla GPTJ,1.00,"Speaking at the Google I/O keynote at the Shoreline Amphitheater in Mountain View, California, Pichai said the future of computing would be ""AI everywhere"". A major theme of the keynote was the company's latest plans for cloud-based services, its new operating system for its Chrome OS platform and improvements to its browser and messaging services.","Google CEO Sundar Pichai has today stated artificial intelligence (AI) will be essential in humanity's future and could even be used to fight cancer. -|GEN|- Speaking at the Google I/O keynote at the Shoreline Amphitheater in Mountain View, California, Pichai said the future of computing would be ""AI everywhere"". A major theme of the keynote was the company's latest plans for cloud-based services, its new operating system for its Chrome OS platform and improvements to its browser and messaging services.",2.00,-
81,122,0.96,"The Senate impeachment trial of President Trump will begin in earnest Tuesday with a tussle between Republicans and Democrats over whether witnesses should be called immediately, a question that is all but certain to remain unresolved until after the first phase of the trial, when the two sides present their arguments.",Vanilla GPTJ,1.00,"Senate Majority Leader Mitch McConnell (R-Ky. ) said in an interview Thursday that he was willing to let Democrats have “their say on witnesses,” including opening the trial with an initial set of witnesses — including former national security adviser John Bolton — and then allowing Republican senators to make a closing argument.","The Senate impeachment trial of President Trump will begin in earnest Tuesday with a tussle between Republicans and Democrats over whether witnesses should be called immediately, a question that is all but certain to remain unresolved until after the first phase of the trial, when the two sides present their arguments. -|GEN|- Senate Majority Leader Mitch McConnell (R-Ky. ) said in an interview Thursday that he was willing to let Democrats have “their say on witnesses,” including opening the trial with an initial set of witnesses — including former national security adviser John Bolton — and then allowing Republican senators to make a closing argument.",2.00,-
82,123,0.96,"The secret towards success is not the top ranks and higher qualification degrees, but it is the passion for work and the experience you gain with it over the years.",Vanilla GPTJ,1.00,"As long as the right work-life balance and financial security can be guaranteed, the career path can be anything at all - it does not have to be limited to just one profession. Monday, October 15, 2015  ""Are we moving from the real to the virtual? Are we moving from being in person to being everywhere in the virtual world""?","The secret towards success is not the top ranks and higher qualification degrees, but it is the passion for work and the experience you gain with it over the years. -|GEN|- As long as the right work-life balance and financial security can be guaranteed, the career path can be anything at all - it does not have to be limited to just one profession. Monday, October 15, 2015  ""Are we moving from the real to the virtual? Are we moving from being in person to being everywhere in the virtual world""?",3.00,-
83,124,0.96,"The Atlantic Hall Educational Trust Council, (AHTC) has praised 12-year-old Miss Munachi Mbonu, for demonstrating the virtues of her school.",Vanilla GPTJ,1.00,"Munachi from Acholi state in Northern Uganda. She and her younger brother are a pupil at Atlantic Hall High School in Gisenyi, a small town on the shores of Lake Victoria in western Rwanda. Munachi, who won the Miss African Union beauty pageant, was among the eight contestants in the Miss African Union competition, which was held in South Africa last month.","The Atlantic Hall Educational Trust Council, (AHTC) has praised 12-year-old Miss Munachi Mbonu, for demonstrating the virtues of her school. -|GEN|- Munachi from Acholi state in Northern Uganda. She and her younger brother are a pupil at Atlantic Hall High School in Gisenyi, a small town on the shores of Lake Victoria in western Rwanda. Munachi, who won the Miss African Union beauty pageant, was among the eight contestants in the Miss African Union competition, which was held in South Africa last month.",3.00,-
85,126,0.96,If the EU has its way then millions of Apple iPhone users could soon be forced to buy new accessories and cables for their beloved smartphones.,Vanilla GPTJ,1.00,"An EU directive due next month, due to be published in full in July, aims to force manufacturers to reduce the amount of power used by Apple products. While most techies and Apple fans will be shocked at the directive, you may not have even known it was coming. On Friday, the European Union Parliament's Science and Research Committee held a debate to decide whether to approve or reject the measure.","If the EU has its way then millions of Apple iPhone users could soon be forced to buy new accessories and cables for their beloved smartphones. -|GEN|- An EU directive due next month, due to be published in full in July, aims to force manufacturers to reduce the amount of power used by Apple products. While most techies and Apple fans will be shocked at the directive, you may not have even known it was coming. On Friday, the European Union Parliament's Science and Research Committee held a debate to decide whether to approve or reject the measure.",3.00,-
86,127,0.96,Africa Magic will be kicking off the New Year with a series of reality shows.,Vanilla GPTJ,1.00,"From 12 February, fans can look forward to The New Reality, in which 14 finalists from the popular TV show Fame Academy will compete for a record breaking N4.2billion showbiz package. For lovers of reality television, you can also look forward to Reality Check, which will involve the winner of this year's Big Brother Africa, Daniel Ssekajja, checking the appearance of the contestants.","Africa Magic will be kicking off the New Year with a series of reality shows. -|GEN|- From 12 February, fans can look forward to The New Reality, in which 14 finalists from the popular TV show Fame Academy will compete for a record breaking N4.2billion showbiz package. For lovers of reality television, you can also look forward to Reality Check, which will involve the winner of this year's Big Brother Africa, Daniel Ssekajja, checking the appearance of the contestants.",2.00,-
87,128,0.96,"JBL has again stepped up its soundbar game, after launching the Bar 5.1 Surround late last year, by using CES 2020 to announce the JBL Bar 9.1.",Vanilla GPTJ,1.00,"The new soundbar is designed to let users create an immersive listening experience, with two built-in satellite speakers that can be rotated 360° using a rotating base. It will be available in black, white, silver, and silver grey finishes, with the black and silver colors priced at $1,049, the silver priced at $999, and the white at $1,049.","JBL has again stepped up its soundbar game, after launching the Bar 5.1 Surround late last year, by using CES 2020 to announce the JBL Bar 9.1. -|GEN|- The new soundbar is designed to let users create an immersive listening experience, with two built-in satellite speakers that can be rotated 360° using a rotating base. It will be available in black, white, silver, and silver grey finishes, with the black and silver colors priced at $1,049, the silver priced at $999, and the white at $1,049.",2.00,-
89,130,0.96,"As soon as she saw Julia, Kitty jumped over to her (Picture: Blue Cross /SWNS.COM).",Vanilla GPTJ,1.00,"One of the many reasons cats are so popular – especially as pets – is that they are independent, curious, funny and downright beautiful. But there’s one particular cat who is more than her name indicates, after the Blue Cross charity named her Kitty after a very special, much-loved pet, who passed away from cancer at just ten weeks old.","As soon as she saw Julia, Kitty jumped over to her (Picture: Blue Cross /SWNS.COM). -|GEN|- One of the many reasons cats are so popular – especially as pets – is that they are independent, curious, funny and downright beautiful. But there’s one particular cat who is more than her name indicates, after the Blue Cross charity named her Kitty after a very special, much-loved pet, who passed away from cancer at just ten weeks old.",2.00,-
90,131,0.96,"The former editor of Waitrose Food Magazine who lost his job for joking about killing vegans, has adopted a plant-based diet for a week with the help of the journalist that leaked the emails leading to his dismissal.",Vanilla GPTJ,1.00,"James MacPherson went on to win a landmark lawsuit against British supermarket giant Morrisons, which sacked him for claiming vegans are “dead,” that a vegetarian could out-eat a beefburger and that a vegan should eat steak with “no regret”.","The former editor of Waitrose Food Magazine who lost his job for joking about killing vegans, has adopted a plant-based diet for a week with the help of the journalist that leaked the emails leading to his dismissal. -|GEN|- James MacPherson went on to win a landmark lawsuit against British supermarket giant Morrisons, which sacked him for claiming vegans are “dead,” that a vegetarian could out-eat a beefburger and that a vegan should eat steak with “no regret”.",1.00,-
91,132,0.96,I’ve been corresponding with a few readers about how to install a TV antenna at home.,Vanilla GPTJ,1.00,"They have seen the posts about the best antennas, but aren’t getting very good signals. If you’re interested in having your own TV antenna at home, check out these posts:  A lot of these readers are also using cable or satellite TV, which is going to be a problem. I’m going to have a post up soon about that too.","I’ve been corresponding with a few readers about how to install a TV antenna at home. -|GEN|- They have seen the posts about the best antennas, but aren’t getting very good signals. If you’re interested in having your own TV antenna at home, check out these posts:  A lot of these readers are also using cable or satellite TV, which is going to be a problem. I’m going to have a post up soon about that too.",3.00,-
92,133,0.96,"Cocos makes a popular 2D game development engine for mobile titles, and today the Chinese company is announcing Cocos Play, a new platform that lets any app developer embed hyper-casual games in their apps.",Vanilla GPTJ,1.00,"It's a bold, intriguing effort, especially with the recent rise of app developers incorporating mobile game concepts into their own businesses. If it catches on, it could even threaten the dominance of Apple and Google's own game development platforms, Game Center and Google Play Games.","Cocos makes a popular 2D game development engine for mobile titles, and today the Chinese company is announcing Cocos Play, a new platform that lets any app developer embed hyper-casual games in their apps. -|GEN|- It's a bold, intriguing effort, especially with the recent rise of app developers incorporating mobile game concepts into their own businesses. If it catches on, it could even threaten the dominance of Apple and Google's own game development platforms, Game Center and Google Play Games.",2.00,-
93,134,0.96,(Picture: Facebook/Cotton Branch Farm Sanctuary).,Vanilla GPTJ,1.00,"Females have a ‘nurse mother’, a ‘guard mother’, and a ‘poster mother’ in their early years. And there’s also a ‘grandmother’ – a role that can extend way beyond just caring for the youngsters. In fact, this role is very much about helping the youngsters find their own path in life, and even helping to find a ‘soul mate’.","(Picture: Facebook/Cotton Branch Farm Sanctuary). -|GEN|- Females have a ‘nurse mother’, a ‘guard mother’, and a ‘poster mother’ in their early years. And there’s also a ‘grandmother’ – a role that can extend way beyond just caring for the youngsters. In fact, this role is very much about helping the youngsters find their own path in life, and even helping to find a ‘soul mate’.",3.00,-
94,135,0.96,It was a full house at the much-anticipated concert given by talented vocal students from the College of Music at Mahidol University.,Vanilla GPTJ,1.00,"On July 16, the final concert of the Mahidol Vocal Students’ Festival 2017 took place at the National Concert Hall. The audience was warmly welcomed by many teachers and renowned pianists, who came to the concert to congratulate the young singers for their achievements so far and their performance for the audiences. The students came out on stage one by one to receive a congratulatory hug from the teachers and the audience.","It was a full house at the much-anticipated concert given by talented vocal students from the College of Music at Mahidol University. -|GEN|- On July 16, the final concert of the Mahidol Vocal Students’ Festival 2017 took place at the National Concert Hall. The audience was warmly welcomed by many teachers and renowned pianists, who came to the concert to congratulate the young singers for their achievements so far and their performance for the audiences. The students came out on stage one by one to receive a congratulatory hug from the teachers and the audience.",3.00,-
95,136,0.96,"CLEVELAND, Ohio – A 12-year-old boy is the third suspect charged in a carjacking at a gas station in Cleveland’s Stockyards neighborhood.",Vanilla GPTJ,1.00,"Trey Whetzel and a friend allegedly held up the gas station store at about 7 p.m. Friday and stole an Xbox. Police say the boys approached the gas station, knocked over a customer who was paying for gas, grabbed the controller off the counter and drove off. The victim had a cut on his hand and was treated on scene.","CLEVELAND, Ohio – A 12-year-old boy is the third suspect charged in a carjacking at a gas station in Cleveland’s Stockyards neighborhood. -|GEN|- Trey Whetzel and a friend allegedly held up the gas station store at about 7 p.m. Friday and stole an Xbox. Police say the boys approached the gas station, knocked over a customer who was paying for gas, grabbed the controller off the counter and drove off. The victim had a cut on his hand and was treated on scene.",3.00,-
96,137,0.96,"Although Makar Sankranti is three to four days away, the team of 'Street Dancer 3D' has already experienced what celebrating the kite festival is like.",Vanilla GPTJ,1.00,"They are busy making videos for the promotional event that will be aired on a regional television channel from Thursday. They work hard for the promo and try not to fall over. When asked whether the team would go out after work on Tuesday, a man in his mid-thirties, with a short brown beard, laughs. ""It's been two days; we're completely worn out"".","Although Makar Sankranti is three to four days away, the team of 'Street Dancer 3D' has already experienced what celebrating the kite festival is like. -|GEN|- They are busy making videos for the promotional event that will be aired on a regional television channel from Thursday. They work hard for the promo and try not to fall over. When asked whether the team would go out after work on Tuesday, a man in his mid-thirties, with a short brown beard, laughs. ""It's been two days; we're completely worn out"".",4.00,-
97,138,0.96,UK’s central bank will assess the possibility of a ‘central bank digital currency’ - Financial giants.,Vanilla GPTJ,1.00,"JP Morgan, the Bank of America and Lloyds said a central bank digital currency could be a ‘game-changing’ innovation for the financial system and predicted the technology would evolve as an industry effort. Financial services firms are being urged by the Bank of England to prepare themselves for the possibility that a digital ‘central bank coin’ will become a reality within the next decade.","UK’s central bank will assess the possibility of a ‘central bank digital currency’ - Financial giants. -|GEN|- JP Morgan, the Bank of America and Lloyds said a central bank digital currency could be a ‘game-changing’ innovation for the financial system and predicted the technology would evolve as an industry effort. Financial services firms are being urged by the Bank of England to prepare themselves for the possibility that a digital ‘central bank coin’ will become a reality within the next decade.",2.00,-
98,139,0.96,Housebuilders are enjoying their usual new year boost – and the Tory election win – but this could all turn out to have shaky foundations.,Vanilla GPTJ,1.00,"That’s what happened in Britain. We’re heading for it in America, but it will take a little time  You need a clear view of a house you own if you want to build another, so to speak, from the one you already have. I know we have not much room to discuss the future of the economy, but I cannot resist one little word about property. I remember when we used to be a nation of property owners.","Housebuilders are enjoying their usual new year boost – and the Tory election win – but this could all turn out to have shaky foundations. -|GEN|- That’s what happened in Britain. We’re heading for it in America, but it will take a little time  You need a clear view of a house you own if you want to build another, so to speak, from the one you already have. I know we have not much room to discuss the future of the economy, but I cannot resist one little word about property. I remember when we used to be a nation of property owners.",4.00,-
99,140,0.96,My best friend has a huge network of friends and family and many work and community commitments.,Vanilla GPTJ,1.00,Her husband is away a fair amount as well as he’s a freelancer so she can’t leave the house for long. They’re having their first child and have no spare room for a new baby so I’m looking into options for the in-laws.,My best friend has a huge network of friends and family and many work and community commitments. -|GEN|- Her husband is away a fair amount as well as he’s a freelancer so she can’t leave the house for long. They’re having their first child and have no spare room for a new baby so I’m looking into options for the in-laws.,2.00,-
100,0,0.4,"From Brittany in the north to the Spanish border in the south, there are miles of charming spots to discover on the Atlantic coast in France.",NLI GPJ - ENT,5.00,"The Atlantic coast of France is one of the most beautiful and diverse regions in the country. Discover the Atlantic coast of France, from Brittany in the north to the Spanish border in the south, with these charming and varied destinations. Discover the Atlantic coast of France, from Brittany in the north to the Spanish border in the south, with these charming and varied destinations.","From Brittany in the north to the Spanish border in the south, there are miles of charming spots to discover on the Atlantic coast in France. -|GEN|- The Atlantic coast of France is one of the most beautiful and diverse regions in the country. Discover the Atlantic coast of France, from Brittany in the north to the Spanish border in the south, with these charming and varied destinations. Discover the Atlantic coast of France, from Brittany in the north to the Spanish border in the south, with these charming and varied destinations.",3.00,1.67
101,1,0.4,"After the week we’ve seen, there’s no telling what might come next in Iran, no telling exactly what Iran’s leaders or ours have in mind.",NLI GPJ - ENT,19.00,But the one thing we can be sure of is that the U.S. will be watching. The U.S. is not the only one watching. Iran’s leaders have been playing a dangerous game for a long time. The question is whether they will continue to do so.,"After the week we’ve seen, there’s no telling what might come next in Iran, no telling exactly what Iran’s leaders or ours have in mind. -|GEN|- But the one thing we can be sure of is that the U.S. will be watching. The U.S. is not the only one watching. Iran’s leaders have been playing a dangerous game for a long time. The question is whether they will continue to do so.",4.00,4.75
102,2,0.4,"Making mole from scratch is traditionally a large-batch, multiday project — something most of us don’t have time to regularly tackle.",NLI GPJ - ENT,25.00,"But the internet is a powerful thing, and the internet is a powerful thing for baking. If you’re looking for a shortcut, there are a few recipes that can get you started. The first step is to choose a base. If you’re new to baking, you may be tempted to start with a recipe that uses a mix of flours.","Making mole from scratch is traditionally a large-batch, multiday project — something most of us don’t have time to regularly tackle. -|GEN|- But the internet is a powerful thing, and the internet is a powerful thing for baking. If you’re looking for a shortcut, there are a few recipes that can get you started. The first step is to choose a base. If you’re new to baking, you may be tempted to start with a recipe that uses a mix of flours.",4.00,6.25
104,4,0.4,Cheetos fans who've finished snacking have been licking orange cheese dust residue off their fingers for decades.,NLI GPJ - ENT,10.00,"But the snack's maker is looking to shake things up with a new flavor. Cheetos, the snack that's made of cheese and crunchy corn chips, is getting a new flavor: Orange. Cheetos, the snack that's made of cheese and crunchy corn chips, is getting a new flavor: Orange.","Cheetos fans who've finished snacking have been licking orange cheese dust residue off their fingers for decades. -|GEN|- But the snack's maker is looking to shake things up with a new flavor. Cheetos, the snack that's made of cheese and crunchy corn chips, is getting a new flavor: Orange. Cheetos, the snack that's made of cheese and crunchy corn chips, is getting a new flavor: Orange.",3.00,3.33
105,5,0.4,"ELYRIA, Ohio – Two Elyria officers suffered minor injuries after a driver rammed their cruisers early Sunday, police said.",NLI GPJ - ENT,13.00,"The crash happened about 2:45 a.m. in the parking lot of the Elyria Hotel, police said. The Elyria Police Department’s Major Crimes Unit is investigating the crash. The Elyria Police Department’s Major Crimes Unit is investigating the crash. The Elyria Police Department’s Major Crimes Unit is investigating the crash.","ELYRIA, Ohio – Two Elyria officers suffered minor injuries after a driver rammed their cruisers early Sunday, police said. -|GEN|- The crash happened about 2:45 a.m. in the parking lot of the Elyria Hotel, police said. The Elyria Police Department’s Major Crimes Unit is investigating the crash. The Elyria Police Department’s Major Crimes Unit is investigating the crash. The Elyria Police Department’s Major Crimes Unit is investigating the crash.",4.00,3.25
106,6,0.4,"Monitoring Desk RIYADH: Saudi Arabia’s decision to allow US, UK or Schengen visa holders to obtain a visa on arrival in the Kingdom will help to boost the tourism sector and the country’s economy, according to business insiders.",NLI GPJ - ENT,5.00,"“The decision will help the tourism sector and the economy of the Kingdom,” said an official at the Saudi Arabian General Investment Authority (SAGIA), adding that the move will also benefit the Kingdom’s economy. The official said that the decision will help to boost the tourism sector and the economy of the Kingdom.","Monitoring Desk RIYADH: Saudi Arabia’s decision to allow US, UK or Schengen visa holders to obtain a visa on arrival in the Kingdom will help to boost the tourism sector and the country’s economy, according to business insiders. -|GEN|- “The decision will help the tourism sector and the economy of the Kingdom,” said an official at the Saudi Arabian General Investment Authority (SAGIA), adding that the move will also benefit the Kingdom’s economy. The official said that the decision will help to boost the tourism sector and the economy of the Kingdom.",2.00,2.50
107,7,0.4,"ROCKY RIVER, Ohio -- A Rocky River Municipal Court judge convicted a 27-year-old motorist who almost struck a student and crossing guard in October last year.",NLI GPJ - ENT,7.00,"Judge Thomas J. Murphy sentenced Matthew J. Hagerty to a $1,000 fine and a year of probation for his conviction of aggravated vehicular assault, a misdemeanor. Hagerty was arrested after the Oct. 3, 2013, incident. The incident occurred at the intersection of Westland Avenue and Eastwood Road.","ROCKY RIVER, Ohio -- A Rocky River Municipal Court judge convicted a 27-year-old motorist who almost struck a student and crossing guard in October last year. -|GEN|- Judge Thomas J. Murphy sentenced Matthew J. Hagerty to a $1,000 fine and a year of probation for his conviction of aggravated vehicular assault, a misdemeanor. Hagerty was arrested after the Oct. 3, 2013, incident. The incident occurred at the intersection of Westland Avenue and Eastwood Road.",3.00,2.33
108,8,0.4,"Monitoring Desk Traveling and living abroad sounds exciting, but not if it puts you in piles of debt.",NLI GPJ - ENT,3.00,"If you’re considering moving abroad, you’ll need to take into account the costs of living and saving in your new country. A lot of people are interested in moving abroad, but they don’t know where to start. If you’re thinking about moving abroad, you’ll need to consider the following:  Cost of Living  If you’re planning on moving abroad, you’ll need to consider the cost of living in your new country.","Monitoring Desk Traveling and living abroad sounds exciting, but not if it puts you in piles of debt. -|GEN|- If you’re considering moving abroad, you’ll need to take into account the costs of living and saving in your new country. A lot of people are interested in moving abroad, but they don’t know where to start. If you’re thinking about moving abroad, you’ll need to consider the following:  Cost of Living  If you’re planning on moving abroad, you’ll need to consider the cost of living in your new country.",3.00,1.00
109,9,0.4,"Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record.",NLI GPJ - ENT,5.00,"The case, which began with a misdemeanor charge of fourth-degree criminal contempt in Onondaga County Court, was sent to a confidential domestic violence court after a judge ruled that Abbott-Kenan's case should be handled in that court. The judge's ruling came after a motion by Abbott-Kenan's attorney, Robert E. Koczwara, who argued that Abbott-Kenan's case should be handled in a confidential domestic violence court.","Syracuse, NY -- A criminal case against Onondaga County legislator Julie Abbott-Kenan has been sent to a confidential domestic violence court and likely will result in no public criminal record. -|GEN|- The case, which began with a misdemeanor charge of fourth-degree criminal contempt in Onondaga County Court, was sent to a confidential domestic violence court after a judge ruled that Abbott-Kenan's case should be handled in that court. The judge's ruling came after a motion by Abbott-Kenan's attorney, Robert E. Koczwara, who argued that Abbott-Kenan's case should be handled in a confidential domestic violence court.",2.00,2.50
110,10,0.4,"With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020.",NLI GPJ - ENT,4.00,The country is the latest in a string of destinations that have been named in the annual list. The New York Times’ annual list of 52 international destinations is a reflection of the global economy and the changing tastes of its readers. The list is a mix of destinations that have been on the radar of the Times’ travel editors for a while and those that have been on the rise in recent years.,"With its annual list of 52 international destinations, The New York Times once again encourages readers to travel to Peru in 2020. -|GEN|- The country is the latest in a string of destinations that have been named in the annual list. The New York Times’ annual list of 52 international destinations is a reflection of the global economy and the changing tastes of its readers. The list is a mix of destinations that have been on the radar of the Times’ travel editors for a while and those that have been on the rise in recent years.",3.00,1.33
111,11,0.4,"Police, the canine unit and members of the community began searching for Luke.",NLI GPJ - ENT,27.00,"""It's just really hard to imagine,"" said a neighbor who did not want to be identified. ""It's just really sad. It's a really sad situation"". ""It's a tragedy. It's a tragedy. I'm just trying to figure out what happened. It's a tragedy. It's a tragedy. I'm just trying to figure out what happened.","Police, the canine unit and members of the community began searching for Luke. -|GEN|- ""It's just really hard to imagine,"" said a neighbor who did not want to be identified. ""It's just really sad. It's a really sad situation"". ""It's a tragedy. It's a tragedy. I'm just trying to figure out what happened. It's a tragedy. It's a tragedy. I'm just trying to figure out what happened.",9.00,3.00
112,12,0.4,"Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday.",NLI GPJ - ENT,9.00,"The arrests were made in Harare, Bulawayo, Mutare, Masvingo, Bindura, Gweru, Plumtree, Mutare, Masvingo, Mutare, Mutare, Mutare. The arrests were made in the capital Harare and other cities, including Bulawayo, Mutare, Masvingo and Victoria Falls, according to the Zimbabwean Daily News. The newspaper said the arrests were made after the police and immigration officers conducted raids in the cities.","Nearly 4000 people were arrested for violating immigration laws in December, state media in Zimbabwe reported on Friday. -|GEN|- The arrests were made in Harare, Bulawayo, Mutare, Masvingo, Bindura, Gweru, Plumtree, Mutare, Masvingo, Mutare, Mutare, Mutare. The arrests were made in the capital Harare and other cities, including Bulawayo, Mutare, Masvingo and Victoria Falls, according to the Zimbabwean Daily News. The newspaper said the arrests were made after the police and immigration officers conducted raids in the cities.",3.00,3.00
114,14,0.4,"Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school.",NLI GPJ - ENT,19.00,"“I’m a little bit shocked,” said Jamesville resident Michael O’Brien, who said he was “in shock” after the verdict. “I didn’t think it would go this way”.","Syracuse, NY -- A Jamesville man blasted a judge Thursday for allowing him to go to trial for murder without enough time to prepare and an inexperienced lawyer who didn’t even graduate high school. -|GEN|- “I’m a little bit shocked,” said Jamesville resident Michael O’Brien, who said he was “in shock” after the verdict. “I didn’t think it would go this way”.",2.00,9.50
115,15,0.4,"By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers.",NLI GPJ - ENT,4.00,"The band, from the north of Italy, played the first notes of a traditional Neapolitan song. The crowd of around 1,000 people, mostly Italian, sang along, clapping their hands and stamping their feet. The song, Bella, Ciao, is a favourite at the festival. It’s a song of celebration, of joy, of love.","By the time the brass band came out blaring Bella, Ciao, the wooden floor was heaving under the weight of hundreds of revellers. -|GEN|- The band, from the north of Italy, played the first notes of a traditional Neapolitan song. The crowd of around 1,000 people, mostly Italian, sang along, clapping their hands and stamping their feet. The song, Bella, Ciao, is a favourite at the festival. It’s a song of celebration, of joy, of love.",4.00,1.00
116,16,0.4,"It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly.",NLI GPJ - ENT,23.00,"A few kids are awake, but most are sleeping. A few are still awake, but not for long. A few are awake, but they’re not talking.","It’s 5 a.m. and 20 bunk beds, separated by a walkway and individual curtains, are quiet—mostly. -|GEN|- A few kids are awake, but most are sleeping. A few are still awake, but not for long. A few are awake, but they’re not talking.",3.00,7.67
117,17,0.4,"Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread.",NLI GPJ - ENT,27.00,"The 33-year-old posted the image on Instagram, with the caption: 'This is what I had for breakfast this morning. I love avocado toast. It's so easy to make and it's so delicious. I'm loving this avocado toast recipe. It's so simple and delicious. It's a great way to start the day.","Victoria Beckham caused a stir yesterday when she shared an image of her avocado toast, served up on slices from a £6 loaf of bread. -|GEN|- The 33-year-old posted the image on Instagram, with the caption: 'This is what I had for breakfast this morning. I love avocado toast. It's so easy to make and it's so delicious. I'm loving this avocado toast recipe. It's so simple and delicious. It's a great way to start the day.",6.00,4.50
118,18,0.4,"Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie.",NLI GPJ - ENT,6.00,"The Duchess of Sussex, 36, has flown to Toronto to be with her husband, Prince Harry, 37, and son, who was born on May 6. It is understood that the Duke and Duchess of Sussex are planning to spend time with Archie in Canada before heading to Australia for the Invictus Games.","Meghan Markle has left Britain, it has emerged, flying to Canada to reunite with her and Prince Harry’s 8-month-old son, Archie. -|GEN|- The Duchess of Sussex, 36, has flown to Toronto to be with her husband, Prince Harry, 37, and son, who was born on May 6. It is understood that the Duke and Duchess of Sussex are planning to spend time with Archie in Canada before heading to Australia for the Invictus Games.",2.00,3.00
119,19,0.4,Gary Anderson was beaten by Adrian Lewis in the 2011 final. Gary Anderson beat 16-time champion Phil Taylor 7-6 in a thrilling final to win his first PDC World Championship.,NLI GPJ - ENT,7.00,Gary Anderson has won the PDC World Championship for the first time in his career after beating Phil Taylor 7-6 in a thrilling final. The Scot was in great form as he claimed his first major title after a sensational comeback from 7-6 down to win the final leg of the World Championship.,Gary Anderson was beaten by Adrian Lewis in the 2011 final. Gary Anderson beat 16-time champion Phil Taylor 7-6 in a thrilling final to win his first PDC World Championship. -|GEN|- Gary Anderson has won the PDC World Championship for the first time in his career after beating Phil Taylor 7-6 in a thrilling final. The Scot was in great form as he claimed his first major title after a sensational comeback from 7-6 down to win the final leg of the World Championship.,2.00,3.50
120,20,0.4,"Fast food diners can be encouraged to make healthier choices by changing the position of items on the menu, a study has found.",NLI GPJ - ENT,2.00,"Researchers found that people were more likely to choose healthier options when they were presented at the top of the menu, rather than at the bottom. The study, published in the journal Appetite, involved presenting people with a menu with healthy and unhealthy options at the top and bottom of the menu.","Fast food diners can be encouraged to make healthier choices by changing the position of items on the menu, a study has found. -|GEN|- Researchers found that people were more likely to choose healthier options when they were presented at the top of the menu, rather than at the bottom. The study, published in the journal Appetite, involved presenting people with a menu with healthy and unhealthy options at the top and bottom of the menu.",2.00,1.00
